Post Url,Likes,Comments,Views,Post Date,Influencer,Video_id
https://www.instagram.com/washingtonkevinznkn/reel/DHGYOmJRHsd/,,,731,3/12/2025,washingtonkevinznkn,DHGYOmJRHsd
https://www.instagram.com/dunlapharryq6ailp/reel/DHEEKiPMC_v/,3,0,712,3/11/2025,dunlapharryq6ailp,DHEEKiPMC_v
https://www.instagram.com/dunlapharryq6ailp/reel/DHV0HXNR88o/,1,0,632,3/19/2025,dunlapharryq6ailp,DHV0HXNR88o
https://www.instagram.com/rosepuqr1x/reel/DHYowZ1s3za/,0,,585,3/20/2025,rosepuqr1x,DHYowZ1s3za
https://www.instagram.com/dunlapharryq6ailp/reel/DHGYO2pR_UI/,5,0,537,3/12/2025,dunlapharryq6ailp,DHGYO2pR_UI
https://www.instagram.com/duncan7ru1qa2t1/reel/DHV0MF9v4XB/,1,0,534,3/19/2025,duncan7ru1qa2t1,DHV0MF9v4XB
https://www.instagram.com/dunlapharryq6ailp/reel/DHn0srbxJQU/,6,0,530,3/25/2025,dunlapharryq6ailp,DHn0srbxJQU
https://www.instagram.com/duncan7ru1qa2t1/reel/DHYo4-XReVQ/,0,,516,3/20/2025,duncan7ru1qa2t1,DHYo4-XReVQ
https://www.instagram.com/rosepuqr1x/reel/DHn2Jqfsric/,2,0,498,3/25/2025,rosepuqr1x,DHn2Jqfsric
https://www.instagram.com/traceyhemmings669jg/reel/DHV85X1RUwU/,2,0,445,3/19/2025,traceyhemmings669jg,DHV85X1RUwU
https://www.instagram.com/gomezfvzrby/reel/DHlcW53OHUK/,0,,377,3/25/2025,gomezfvzrby,DHlcW53OHUK
https://www.instagram.com/traceyhemmings669jg/reel/DG5pwFkxTLM/,2,0,329,3/7/2025,traceyhemmings669jg,DG5pwFkxTLM
https://www.instagram.com/duncan7ru1qa2t1/reel/DHn163Rx6YR/,2,0,324,3/25/2025,duncan7ru1qa2t1,DHn163Rx6YR
https://www.instagram.com/gomezfvzrby/reel/DHEGrQAuE_j/,1,0,314,3/11/2025,gomezfvzrby,DHEGrQAuE_j
https://www.instagram.com/duncan7ru1qa2t1/reel/DHlGlu8R9VG/,1,0,297,3/25/2025,duncan7ru1qa2t1,DHlGlu8R9VG
https://www.instagram.com/traceyhemmings669jg/reel/DGyGT1HRTi9/,1,0,259,3/4/2025,traceyhemmings669jg,DGyGT1HRTi9
https://www.instagram.com/traceyhemmings669jg/reel/DGwvbiXx59M/,0,,259,3/4/2025,traceyhemmings669jg,DGwvbiXx59M
https://www.instagram.com/sallypullman4093gy/reel/DHlWMgiueIr/,0,,258,3/25/2025,sallypullman4093gy,DHlWMgiueIr
https://www.instagram.com/sallypullman4093gy/reel/DGyGTr-Pbux/,0,,246,3/4/2025,sallypullman4093gy,DGyGTr-Pbux
