Post Url,Likes,"Comments,collections",forwarding,Views,Post Date,Influencer,Video_id
https://www.tiktok.com/@kevinpotter66/video/7480924411978304814,47,1,6,5279,3/12/2025,@kevinpotter66,7480924411978304814
https://www.tiktok.com/@marvinslade3/video/7477201233363750186,29,0,2,5142,3/2/2025,@marvinslade3,7477201233363750186
https://www.tiktok.com/@nikiaten07/video/7477203715095579946,5,0,0,5132,3/2/2025,@nikiaten07,7477203715095579946
https://www.tiktok.com/@marvinslade3/video/7480197426825973034,16,0,2,5042,3/10/2025,@marvinslade3,7480197426825973034
https://www.tiktok.com/@johnsturgis6/video/7481330853252042015,8,0,0,4958,3/14/2025,@johnsturgis6,7481330853252042015
https://www.tiktok.com/@annabwlxgie/video/7483579861836107039,43,3,2,4755,3/20/2025,@annabwlxgie,7483579861836107039
https://www.tiktok.com/@jasonken66/video/7483143679637556510,8,0,0,4749,3/19/2025,@jasonken66,7483143679637556510
https://www.tiktok.com/@annabwlxgie/video/7477202419739299103,6,2,2,4666,3/2/2025,@annabwlxgie,7477202419739299103
https://www.tiktok.com/@marvinslade3/video/7481670875503136046,6,0,1,4532,3/14/2025,@marvinslade3,7481670875503136046
https://www.tiktok.com/@annabwlxgie/video/7483882340955999518,19,0,1,4489,3/20/2025,@annabwlxgie,7483882340955999518
https://www.tiktok.com/@nikiaten07/video/7480213014415920430,11,0,2,4432,3/11/2025,@nikiaten07,7480213014415920430
https://www.tiktok.com/@daisywilson6/video/7480565568421121323,16,1,0,4412,3/11/2025,@daisywilson6,7480565568421121323
https://www.tiktok.com/@johnsturgis6/video/7480901270467824927,38,0,2,4358,3/12/2025,@johnsturgis6,7480901270467824927
https://www.tiktok.com/@johnsturgis6/video/7479024202368994590,21,0,3,4339,3/7/2025,@johnsturgis6,7479024202368994590
https://www.tiktok.com/@marvinslade3/video/7478701827928657195,18,1,0,4296,3/6/2025,@marvinslade3,7478701827928657195
https://www.tiktok.com/@nikiaten07/video/7482402922953821486,6,1,0,4288,3/16/2025,@nikiaten07,7482402922953821486
https://www.tiktok.com/@jasonken66/video/7482406542445219103,11,0,0,4226,3/16/2025,@jasonken66,7482406542445219103
https://www.tiktok.com/@nikiaten07/video/7477979190978202926,16,0,0,4204,3/4/2025,@nikiaten07,7477979190978202926
https://www.tiktok.com/@daisywilson6/video/7482745230949829934,13,0,0,4117,3/17/2025,@daisywilson6,7482745230949829934
https://www.tiktok.com/@annabwlxgie/video/7481470393912446239,8,0,5,4052,3/14/2025,@annabwlxgie,7481470393912446239
https://www.tiktok.com/@joelsoares081/video/7478736468530253087,4,0,0,4039,3/7/2025,@joelsoares081,7478736468530253087
https://www.tiktok.com/@annabwlxgie/video/7479818200113253662,12,3,3,4020,3/9/2025,@annabwlxgie,7479818200113253662
https://www.tiktok.com/@marvinslade3/video/7477964214670363950,17,0,1,4011,3/4/2025,@marvinslade3,7477964214670363950
https://www.tiktok.com/@kevinpotter66/video/7477202062099500331,8,0,0,3992,3/2/2025,@kevinpotter66,7477202062099500331
https://www.tiktok.com/@smithluiio/video/7480902054819532062,8,0,0,3972,3/12/2025,@smithluiio,7480902054819532062
https://www.tiktok.com/@daisywilson6/video/7482407369020886318,5,1,0,3922,3/16/2025,@daisywilson6,7482407369020886318
https://www.tiktok.com/@joelsoares081/video/7477979003320667423,2,0,2,3863,3/4/2025,@joelsoares081,7477979003320667423
https://www.tiktok.com/@joelsoares081/video/7485560095821008159,5,1,3,3818,3/25/2025,@joelsoares081,7485560095821008159
https://www.tiktok.com/@joelsoares081/video/7483146068285312287,9,1,1,3762,3/18/2025,@joelsoares081,7483146068285312287
https://www.tiktok.com/@johnsturgis6/video/7482745795280768286,7,1,0,3712,3/17/2025,@johnsturgis6,7482745795280768286
https://www.tiktok.com/@joelsoares081/video/7479067785067351327,0,0,0,3676,3/7/2025,@joelsoares081,7479067785067351327
https://www.tiktok.com/@joelsoares081/video/7481667730412784926,12,2,1,3430,3/14/2025,@joelsoares081,7481667730412784926
https://www.tiktok.com/@johnsturgis6/video/7477969083498040606,12,0,0,3423,3/4/2025,@johnsturgis6,7477969083498040606
https://www.tiktok.com/@joelsoares081/video/7483549789682928926,13,3,0,3397,3/19/2025,@joelsoares081,7483549789682928926
https://www.tiktok.com/@joelsoares081/video/7480226264817601822,1,0,1,3206,3/11/2025,@joelsoares081,7480226264817601822
https://www.tiktok.com/@marvinslade3/video/7482777546275294506,15,0,2,3189,3/17/2025,@marvinslade3,7482777546275294506
https://www.tiktok.com/@joelsoares081/video/7482778311731481887,10,1,1,3161,3/17/2025,@joelsoares081,7482778311731481887
https://www.tiktok.com/@joelsoares081/video/7479818175693999391,2,2,0,3153,3/9/2025,@joelsoares081,7479818175693999391
https://www.tiktok.com/@johnsturgis6/video/7479855878556929310,8,0,0,2915,3/10/2025,@johnsturgis6,7479855878556929310
https://www.tiktok.com/@nikiaten07/video/7477586470937709866,11,0,0,2727,3/3/2025,@nikiaten07,7477586470937709866
https://www.tiktok.com/@daisywilson6/video/7480183795195465003,4,0,0,2723,3/10/2025,@daisywilson6,7480183795195465003
https://www.tiktok.com/@jasonken66/video/7485761087053253919,7,0,0,2630,3/25/2025,@jasonken66,7485761087053253919
https://www.tiktok.com/@marvinslade3/video/7481297175658581294,11,0,0,2541,3/13/2025,@marvinslade3,7481297175658581294
https://www.tiktok.com/@kevinpotter66/video/7481297818460654890,14,1,3,2439,3/13/2025,@kevinpotter66,7481297818460654890
https://www.tiktok.com/@johnsturgis6/video/7478744326856609054,1,0,0,2393,3/7/2025,@johnsturgis6,7478744326856609054
https://www.tiktok.com/@johnsturgis6/video/7483126067734105374,6,0,0,2306,3/18/2025,@johnsturgis6,7483126067734105374
https://www.tiktok.com/@annabwlxgie/video/7477978976292539679,15,0,2,2253,3/4/2025,@annabwlxgie,7477978976292539679
https://www.tiktok.com/@smithluiio/video/7478286396881390879,27,1,6,2236,3/5/2025,@smithluiio,7478286396881390879
https://www.tiktok.com/@daisywilson6/video/7477201592572284206,2,0,0,2228,3/2/2025,@daisywilson6,7477201592572284206
https://www.tiktok.com/@jasonken66/video/7483689321246035231,1,0,0,2143,3/21/2025,@jasonken66,7483689321246035231
https://www.tiktok.com/@jasonken66/video/7485378242724056351,6,0,0,2141,3/25/2025,@jasonken66,7485378242724056351
https://www.tiktok.com/@joelsoares081/video/7480942491890502942,18,0,2,2120,3/12/2025,@joelsoares081,7480942491890502942
https://www.tiktok.com/@johnsturgis6/video/7480568140959665438,1,0,0,1998,3/11/2025,@johnsturgis6,7480568140959665438
https://www.tiktok.com/@smithluiio/video/7485720906862513438,10,0,7,1965,3/25/2025,@smithluiio,7485720906862513438
https://www.tiktok.com/@jasonken66/video/7486115352946937118,4,0,1,1941,3/26/2025,@jasonken66,7486115352946937118
https://www.tiktok.com/@annabwlxgie/video/7478332293740875038,11,4,3,1806,3/5/2025,@annabwlxgie,7478332293740875038
https://www.tiktok.com/@jasonken66/video/7483522212238986526,3,0,0,1797,3/20/2025,@jasonken66,7483522212238986526
https://www.tiktok.com/@nikiaten07/video/7481094496818646315,2,0,1,1753,3/13/2025,@nikiaten07,7481094496818646315
https://www.tiktok.com/@annabwlxgie/video/7483523534619184415,6,0,4,1731,3/19/2025,@annabwlxgie,7483523534619184415
https://www.tiktok.com/@daisywilson6/video/7480901569676840234,6,2,0,1688,3/12/2025,@daisywilson6,7480901569676840234
https://www.tiktok.com/@marvinslade3/video/7477594977296665902,5,0,0,1556,3/3/2025,@marvinslade3,7477594977296665902
https://www.tiktok.com/@joelsoares081/video/7483882157979553054,4,0,0,1415,3/20/2025,@joelsoares081,7483882157979553054
https://www.tiktok.com/@joelsoares081/video/7477586538965011743,4,0,0,1383,3/3/2025,@joelsoares081,7477586538965011743
https://www.tiktok.com/@annabwlxgie/video/7485560430027476255,5,0,1,1320,3/25/2025,@annabwlxgie,7485560430027476255
https://www.tiktok.com/@nikiaten07/video/7480576642755185962,1,0,0,1319,3/11/2025,@nikiaten07,7480576642755185962
https://www.tiktok.com/@annabwlxgie/video/7485049386410446111,5,0,0,1300,3/24/2025,@annabwlxgie,7485049386410446111
https://www.tiktok.com/@jasonken66/video/7480574048133549343,2,0,0,1284,3/11/2025,@jasonken66,7480574048133549343
https://www.tiktok.com/@johnsturgis6/video/7481682353954278687,4,0,0,1272,3/14/2025,@johnsturgis6,7481682353954278687
https://www.tiktok.com/@johnsturgis6/video/7480399889663282462,1,0,0,1218,3/11/2025,@johnsturgis6,7480399889663282462
https://www.tiktok.com/@johnsturgis6/video/7485328942400933151,19,0,0,1210,3/24/2025,@johnsturgis6,7485328942400933151
https://www.tiktok.com/@jasonken66/video/7483878468917234974,9,0,1,1177,3/21/2025,@jasonken66,7483878468917234974
https://www.tiktok.com/@nikiaten07/video/7483905117826354478,6,0,1,1037,3/21/2025,@nikiaten07,7483905117826354478
https://www.tiktok.com/@joelsoares081/video/7485047443604655390,6,0,0,1016,3/24/2025,@joelsoares081,7485047443604655390
https://www.tiktok.com/@nikiaten07/video/7485364453182065962,6,0,0,999,3/25/2025,@nikiaten07,7485364453182065962
https://www.tiktok.com/@nikiaten07/video/7481301008858107178,7,0,0,975,3/13/2025,@nikiaten07,7481301008858107178
https://www.tiktok.com/@johnsturgis6/video/7485721545327856927,4,0,0,972,3/25/2025,@johnsturgis6,7485721545327856927
